dates,Entity,Total_Meat_Consumption
1961-01-01,Brazil,2043552500.0
1962-01-01,Brazil,2102604720.0
1963-01-01,Brazil,2135536030.0
1964-01-01,Brazil,2214695799.9999995
1965-01-01,Brazil,2300288659.9999995
1966-01-01,Brazil,2365237200.0
1967-01-01,Brazil,2469409799.9999995
1968-01-01,Brazil,2671839720.0
1969-01-01,Brazil,2800959400.0000005
1970-01-01,Brazil,2897141980.0
1971-01-01,Brazil,2855277070.0
1972-01-01,Brazil,3101620540.0
1973-01-01,Brazil,3271265410.0
1974-01-01,Brazil,3278344860.0
1975-01-01,Brazil,3423406879.9999995
1976-01-01,Brazil,3643963290.0
1977-01-01,Brazil,3799965000.000001
1978-01-01,Brazil,4230696750.0
1979-01-01,Brazil,4600778339.999999
1980-01-01,Brazil,4948454000.0
1981-01-01,Brazil,4972456800.0
1982-01-01,Brazil,4899267540.000001
1983-01-01,Brazil,5027799160.0
1984-01-01,Brazil,4865112000.0
1985-01-01,Brazil,5107946240.0
1986-01-01,Brazil,6068509108.48
1987-01-01,Brazil,6259831560.0
1988-01-01,Brazil,6437406960.000001
1989-01-01,Brazil,7127636880.000002
1990-01-01,Brazil,7360748595.2
1991-01-01,Brazil,7982750720.0
1992-01-01,Brazil,8280623549.44
1993-01-01,Brazil,8673749257.6
1994-01-01,Brazil,9655261995.52
1995-01-01,Brazil,11182620400.0
1996-01-01,Brazil,11564204312.0
1997-01-01,Brazil,12027342794.56
1998-01-01,Brazil,12261872122.24
1999-01-01,Brazil,13170341781.44
2000-01-01,Brazil,13804914199.999998
2001-01-01,Brazil,13534230480.000002
2002-01-01,Brazil,14127845220.0
2003-01-01,Brazil,14484722392.64
2004-01-01,Brazil,14943127259.999996
2005-01-01,Brazil,13870184636.16
2006-01-01,Brazil,14658209923.2
2007-01-01,Brazil,15313070199.999996
2008-01-01,Brazil,16551065699.999996
2009-01-01,Brazil,16523050821.76
2010-01-01,Brazil,17508574440.0
2011-01-01,Brazil,18364945443.84
2012-01-01,Brazil,18639313858.24
2013-01-01,Brazil,19617092880.0
2014-01-01,Brazil,19514007360.0
2015-01-01,Brazil,20013719360.0
2016-01-01,Brazil,20051414158.079998
2017-01-01,Brazil,20750146560.0
2018-01-01,Brazil,21671757425.860897
2019-01-01,Brazil,22589200225.26314
2020-01-01,Brazil,23542717478.330704
2021-01-01,Brazil,24539267240.808784
2022-01-01,Brazil,25577678461.12512
2023-01-01,Brazil,26659941630.27188
2024-01-01,Brazil,27788029957.13678
2025-01-01,Brazil,28963851555.137295
2026-01-01,Brazil,30189425300.729885
2027-01-01,Brazil,31466858147.565765
2028-01-01,Brazil,32798344212.860962
2029-01-01,Brazil,34186170650.881603
2030-01-01,Brazil,35632721464.33632
2031-01-01,Brazil,37140481510.681816
