dates,Total_Meat_Consumption
1961-01-01,3561170989.999999
1962-01-01,3669534610.0
1963-01-01,3735440940.000001
1964-01-01,3832073520.0
1965-01-01,3958256400.0
1966-01-01,3909100200.000001
1967-01-01,4049535560.0
1968-01-01,4171584750.0
1969-01-01,4304057540.0
1970-01-01,4392101280.0
1971-01-01,4500809110.000001
1972-01-01,4573493640.0
1973-01-01,4645452600.0
1974-01-01,4721030690.0
1975-01-01,4823677950.0
1976-01-01,4958428090.000001
1977-01-01,5045277380.0
1978-01-01,5182031000.000001
1979-01-01,5371209180.0
1980-01-01,5433665159.999999
1981-01-01,5323882770.0
1982-01-01,5311825060.000001
1983-01-01,5295273750.0
1984-01-01,5368431550.0
1985-01-01,5402281350.0
1986-01-01,5312879250.0
1987-01-01,5484966739.999999
1988-01-01,5483510200.000001
1989-01-01,5542257040.0
1990-01-01,5593032900.0
1991-01-01,5744330020.0
1992-01-01,5602120409.999999
1993-01-01,5396222200.0
1994-01-01,5475947830.0
1995-01-01,5656503720.0
1996-01-01,5755950640.0
1997-01-01,5813366850.000001
1998-01-01,5957196920.0
1999-01-01,5800542240.0
2000-01-01,5907401500.0
2001-01-01,6031039039.999999
2002-01-01,5864282180.000001
2003-01-01,5798049960.0
2004-01-01,5533229680.000001
2005-01-01,5396895999.999999
2006-01-01,5127390239.999999
2007-01-01,5180910060.000001
2008-01-01,5662263180.0
2009-01-01,5655138060.000001
2010-01-01,5688753600.0
2011-01-01,5645092379.999999
2012-01-01,5686435440.000001
2013-01-01,5544082380.0
2014-01-01,5529029220.0
2015-01-01,5559071250.0
2016-01-01,5514240360.0
2017-01-01,5384562720.0
2018-01-01,5384102711.231905
2019-01-01,5416295600.553063
2020-01-01,5457061811.877456
2021-01-01,5500255668.525177
2022-01-01,5544300452.88753
2023-01-01,5588792294.652043
2024-01-01,5633628982.077026
2025-01-01,5678785937.858188
2026-01-01,5724258576.616109
2027-01-01,5770047471.037745
2028-01-01,5816154534.440031
2029-01-01,5862582038.430075
2030-01-01,5909332360.18646
2031-01-01,5956407917.51013
