dates,Total_Meat_Consumption
1961-01-01,565006000.0
1962-01-01,568084920.0
1963-01-01,587141010.0000001
1964-01-01,610718719.9999999
1965-01-01,642031200.0
1966-01-01,655707360.0
1967-01-01,678532750.0
1968-01-01,713075100.0
1969-01-01,754509600.0
1970-01-01,731620500.0000001
1971-01-01,751571399.9999999
1972-01-01,829072019.9999999
1973-01-01,844846290.0
1974-01-01,865247720.0
1975-01-01,903996600.0
1976-01-01,941241910.0
1977-01-01,953580810.0
1978-01-01,984602920.0
1979-01-01,1005667779.9999998
1980-01-01,1029194280.0
1981-01-01,1023721700.0
1982-01-01,1105299000.0
1983-01-01,1129731299.9999998
1984-01-01,1180064520.0
1985-01-01,1229383980.0
1986-01-01,1178389280.0
1987-01-01,1258393620.0
1988-01-01,1270656200.0
1989-01-01,1279107999.9999998
1990-01-01,1497800699.9999998
1991-01-01,1502724959.9999995
1992-01-01,1589073570.0000002
1993-01-01,1577433200.0
1994-01-01,1630672800.0
1995-01-01,1549292039.9999998
1996-01-01,1560804949.9999998
1997-01-01,1641243659.9999998
1998-01-01,1546342800.0000002
1999-01-01,1650740969.9999998
2000-01-01,1870219120.0
2001-01-01,1780914679.9999995
2002-01-01,1846963020.0
2003-01-01,1964066760.0
2004-01-01,2054364480.0
2005-01-01,2198216710.0
2006-01-01,2401660170.0000005
2007-01-01,2593536000.0
2008-01-01,2815002450.0
2009-01-01,2901417959.9999995
2010-01-01,2982365910.0
2011-01-01,3084357239.9999995
2012-01-01,3189528210.0
2013-01-01,3485360040.0
2014-01-01,3340820000.0
2015-01-01,3367468800.0
2016-01-01,3511313759.9999995
2017-01-01,3421170100.0
2018-01-01,3592445522.216048
2019-01-01,3727848021.763001
2020-01-01,3815884229.6188455
2021-01-01,3968611946.5023036
2022-01-01,4087761207.4926653
2023-01-01,4224908365.033899
2024-01-01,4367057697.56248
2025-01-01,4508649143.907418
2026-01-01,4659570406.964449
2027-01-01,4813048082.562629
2028-01-01,4972229157.099932
2029-01-01,5136941153.36986
2030-01-01,5306642954.7698345
2031-01-01,5482285569.115845
