dates,Entity,Total_Meat_Consumption
1961-01-01,Pakistan,360688950.0
1962-01-01,Pakistan,372400110.0
1963-01-01,Pakistan,379837950.0
1964-01-01,Pakistan,390572360.0
1965-01-01,Pakistan,398687940.00000006
1966-01-01,Pakistan,410241000.0
1967-01-01,Pakistan,421199600.0
1968-01-01,Pakistan,430905460.0
1969-01-01,Pakistan,441464400.00000006
1970-01-01,Pakistan,454089020.0
1971-01-01,Pakistan,468314560.0
1972-01-01,Pakistan,483690160.0
1973-01-01,Pakistan,510470910.0
1974-01-01,Pakistan,534176380.0
1975-01-01,Pakistan,553244760.0000001
1976-01-01,Pakistan,578893940.0
1977-01-01,Pakistan,605981320.0000001
1978-01-01,Pakistan,631690110.0
1979-01-01,Pakistan,664181190.0000001
1980-01-01,Pakistan,695461140.0
1981-01-01,Pakistan,729347200.0000001
1982-01-01,Pakistan,760899840.0000001
1983-01-01,Pakistan,806774100.0000001
1984-01-01,Pakistan,858238680.0000001
1985-01-01,Pakistan,920998080.0
1986-01-01,Pakistan,1024513400.0
1987-01-01,Pakistan,1084094580.0
1988-01-01,Pakistan,1157873800.0
1989-01-01,Pakistan,1234298530.0
1990-01-01,Pakistan,1284240640.0
1991-01-01,Pakistan,1341533690.0
1992-01-01,Pakistan,1431861270.0
1993-01-01,Pakistan,1600579290.0000002
1994-01-01,Pakistan,1713969120.0
1995-01-01,Pakistan,1813333050.0
1996-01-01,Pakistan,1492530279.9999998
1997-01-01,Pakistan,1635591360.0
1998-01-01,Pakistan,1568224183.04
1999-01-01,Pakistan,1630229905.92
2000-01-01,Pakistan,1678235760.0000002
2001-01-01,Pakistan,1734218639.9999998
2002-01-01,Pakistan,1793104499.9999995
2003-01-01,Pakistan,1852425203.2
2004-01-01,Pakistan,1909746252.48
2005-01-01,Pakistan,1963724000.0
2006-01-01,Pakistan,2279919811.2000003
2007-01-01,Pakistan,2384551680.0
2008-01-01,Pakistan,2488910384.0000005
2009-01-01,Pakistan,2597784800.0
2010-01-01,Pakistan,2714700128.96
2011-01-01,Pakistan,2845436800.0000005
2012-01-01,Pakistan,2981497600.0
2013-01-01,Pakistan,3138592878.72
2014-01-01,Pakistan,3013556026.56
2015-01-01,Pakistan,3152940996.48
2016-01-01,Pakistan,3319185430.4
2017-01-01,Pakistan,3469076090.431695
2018-01-01,Pakistan,3615132741.105624
2019-01-01,Pakistan,3765680423.078805
2020-01-01,Pakistan,3920947609.4900618
2021-01-01,Pakistan,4082762730.683599
2022-01-01,Pakistan,4250912158.4762235
2023-01-01,Pakistan,4426118580.8864155
2024-01-01,Pakistan,4608440195.911286
2025-01-01,Pakistan,4798329486.369244
2026-01-01,Pakistan,4996005272.613885
2027-01-01,Pakistan,5201847171.108116
2028-01-01,Pakistan,5416155928.489636
2029-01-01,Pakistan,5639302501.249006
2030-01-01,Pakistan,5871637436.685089
